,Turkana,Marsabit,Mandera,Wajir,West Pokot,Samburu,Isiolo,Baringo,Keiyo-Marakwet,Trans Nzoia,Bungoma,Garissa,Uasin Gishu,Kakamega,Laikipia,Busia,Meru,Nandi,Siaya,Nakuru,Vihiga,Nyandarua,Tharaka,Kericho,Kisumu,Nyeri,Tana River,Kitui,Kirinyaga,Embu,Homa Bay,Bomet,Nyamira,Narok,Kisii,Murang'a,Migori,Kiambu,Machakos,Kajiado,Nairobi,Makueni,Lamu,Kilifi,Taita Taveta,Kwale,Mombasa,Offshore
2013-01-21,4.9109774,5.879366,6.2544413,5.8084188,3.635914,4.9520082,4.212995,3.129251,3.3504333,2.3119915,2.4221728,4.1210523,4.0099897,2.892629,3.350924,2.2070727,2.7245448,3.9736454,2.7203417,2.828319,1.902283,2.7335982,2.3085759,3.7723353,2.3601074,2.1735,3.6750507,3.361019,2.3888206,2.7953765,2.3434358,2.1673634,2.07309,2.7477915,1.9456514,3.3005078,2.5006475,4.3622217,4.184644,3.8394299,5.4063897,4.0022593,5.305704,4.335588,3.8843246,4.3292294,5.8212404,5.7289734
2013-01-22,5.1973333,5.8378096,5.541971,5.426122,4.3478518,5.000129,4.3890533,3.2542725,3.5622764,2.5799148,2.515805,4.2624526,4.130076,3.1108844,3.345023,2.9186652,3.400981,3.8568773,2.9691293,2.8416853,2.4134967,2.3510282,2.712815,3.4804094,2.5176492,1.9579923,3.8879323,3.1602015,2.373267,2.8520384,2.292674,2.267422,1.7188251,3.1500516,1.6603632,3.2552097,2.5906615,4.5374207,4.127423,3.8955991,5.4579525,3.7358527,5.5462446,4.3125286,3.7031026,3.888875,5.5505714,5.864044
2013-01-23,5.046991,5.450928,6.1247263,5.6748147,4.17751,4.834187,4.3617,3.266708,3.8737195,2.7239873,3.100422,4.7081094,4.9603424,3.7903407,3.8834305,2.5598617,3.0930033,4.801732,2.858182,3.398645,2.72176,2.9753861,2.8902733,4.237383,2.9426193,2.4149332,4.091973,3.4172983,2.7863245,3.4132843,2.058247,2.6807368,1.9863695,3.1642175,1.8314631,3.819855,2.2697334,5.0386844,4.485167,3.8117285,5.937175,4.0564017,5.9809966,4.682284,3.6433551,4.0543547,5.998471,5.965947
2013-01-24,5.7047124,6.5122747,6.71107,6.1780095,4.2812757,5.3183756,5.069139,2.9947288,3.55715,2.3012614,2.6865032,4.6910353,4.1020756,3.1905615,3.347171,2.2946723,3.3857815,3.76221,2.4251418,2.7941108,2.855249,2.2071512,2.5984488,3.042656,2.5400107,1.9531379,4.146512,3.702384,2.001942,2.47776,1.3829061,2.988579,1.4157227,3.7623332,1.2902083,2.7529104,1.7427428,4.120104,3.8221507,3.752092,5.0559845,4.078844,6.3982873,4.671733,3.368527,3.7209802,5.450471,5.859298
2013-01-25,5.516504,5.825781,5.8714337,5.104354,4.1171093,4.5748153,4.0395207,2.9254081,3.0362055,2.0741456,2.076323,4.1425314,3.0205507,2.4759443,3.058345,2.4726534,2.8968315,2.8785622,2.1195588,2.266138,2.5289607,1.9530301,2.5644565,2.3716524,2.5071893,1.7946641,3.8737423,3.205062,2.2554665,2.7751133,2.5878818,2.6210787,2.3834932,3.3628776,2.6900747,3.242211,3.7364492,3.9380786,3.413571,3.0165138,4.4711666,3.2844896,5.6813707,4.362444,3.5112064,4.3013935,6.088018,5.9675426
2013-01-26,4.403209,5.2259874,6.267611,5.701044,3.2469852,4.1487036,4.1458116,2.6147227,2.4664884,2.1914952,2.7346594,4.3808265,2.9910183,3.3114378,2.7689116,3.6212654,3.0604148,3.305488,3.9914672,1.9809253,3.7032719,1.9617106,2.5134387,2.9666293,3.452039,1.7349529,3.7377625,3.0610514,1.7165323,2.584914,3.0819116,1.818801,1.8513546,2.3581264,1.924135,2.5180814,3.134323,3.1467803,3.1976054,2.8253033,3.8479595,3.0106494,6.0462093,4.4662275,3.057982,3.7464662,6.0146933,6.119885
2013-01-27,4.2641525,5.644299,6.3945312,5.589176,2.7590168,4.378844,4.114471,2.351299,2.157744,1.7027184,2.2517183,4.0873394,2.2105134,2.3404613,2.700902,3.240075,2.4058173,2.4501314,3.8902295,1.9319878,3.0656853,2.0098946,2.2110298,2.532911,3.1949928,2.0534737,3.5341635,3.176912,2.3714237,2.736642,3.4246888,1.4196744,2.3272061,2.009755,2.358165,2.877259,3.36817,3.182129,3.2713842,2.6527576,3.8010087,3.2528603,5.6935635,4.4744344,3.308303,3.7673054,5.8909245,5.8135653
2013-01-28,3.7805998,5.331784,5.180175,5.339077,2.188999,4.168166,4.426687,2.088262,1.4872458,1.9460435,2.0330338,3.9858134,2.0762777,2.5210898,2.2541232,3.5494802,2.885872,2.2864368,3.8872652,1.7448032,2.9939141,1.4729409,2.4483943,2.2103777,2.8232844,1.4583598,3.621577,3.0568802,1.4988685,2.1050582,3.481605,2.9619915,3.0743785,2.687018,3.104439,1.5154638,3.5865865,1.9137903,2.2927837,2.2765193,2.5682824,2.9559026,5.417629,4.521385,2.4748597,3.2368815,5.9642925,5.5541863
2013-01-29,3.3206625,3.9961805,3.9887683,4.1921463,2.4018562,3.6619146,3.8771448,3.4109921,1.9404953,1.7063481,1.9158586,3.2842042,2.015532,2.2605405,2.7878165,3.150031,2.8718307,2.180364,3.4432106,2.607087,2.4538827,1.9983255,2.1238077,2.3525002,2.3249347,1.6564176,2.9055083,2.1970537,1.4259354,2.1188645,3.350309,3.7752564,3.143518,3.1259093,3.41712,2.039675,3.2986238,1.409793,1.3638284,1.8277204,0.8537836,1.5259111,4.741387,3.5688589,1.6343428,2.9236057,5.0399957,4.969358
2013-01-30,3.284838,3.5708814,4.3288383,4.544287,3.4516122,3.544029,3.7464793,4.0098233,2.9275582,2.7636166,2.721773,3.9207065,3.0953672,3.2989872,3.1868768,3.5167599,2.6168163,3.5637584,4.084374,2.599885,4.443135,2.3401296,2.2473702,2.8139732,4.0613956,2.9134996,3.224364,2.7266874,2.5481312,2.4008822,3.605376,3.158109,3.0713634,3.030299,3.048595,2.4351666,3.6191118,1.7907139,2.0169597,2.029502,1.422395,2.3458364,5.606358,3.4769673,2.3333383,3.161844,4.5494742,5.2045317
